Country,Cases,year,month,day,quarter,date,year_month
Brunei,2.0,2020,3,31,1,2020-03-31 00:00:00+00:00,2020-03
Brunei,2.0,2020,4,1,2,2020-04-01 00:00:00+00:00,2020-04
Brunei,2.0,2020,4,2,2,2020-04-02 00:00:00+00:00,2020-04
Brunei,1.0,2020,4,3,2,2020-04-03 00:00:00+00:00,2020-04
Brunei,1.0,2020,4,4,2,2020-04-04 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,5,2,2020-04-05 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,6,2,2020-04-06 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,7,2,2020-04-07 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,8,2,2020-04-08 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,9,2,2020-04-09 00:00:00+00:00,2020-04
Brunei,1.0,2020,4,10,2,2020-04-10 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,11,2,2020-04-11 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,12,2,2020-04-12 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,13,2,2020-04-13 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,14,2,2020-04-14 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,15,2,2020-04-15 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,16,2,2020-04-16 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,17,2,2020-04-17 00:00:00+00:00,2020-04
Brunei,1.0,2020,4,18,2,2020-04-18 00:00:00+00:00,2020-04
Brunei,1.0,2020,4,19,2,2020-04-19 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,20,2,2020-04-20 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,21,2,2020-04-21 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,22,2,2020-04-22 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,23,2,2020-04-23 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,24,2,2020-04-24 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,25,2,2020-04-25 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,26,2,2020-04-26 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,27,2,2020-04-27 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,28,2,2020-04-28 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,29,2,2020-04-29 00:00:00+00:00,2020-04
Brunei,0.0,2020,4,30,2,2020-04-30 00:00:00+00:00,2020-04
Brunei,0.0,2020,5,1,2,2020-05-01 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,2,2,2020-05-02 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,3,2,2020-05-03 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,4,2,2020-05-04 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,5,2,2020-05-05 00:00:00+00:00,2020-05
Brunei,1.0,2020,5,6,2,2020-05-06 00:00:00+00:00,2020-05
Brunei,2.0,2020,5,7,2,2020-05-07 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,8,2,2020-05-08 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,9,2,2020-05-09 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,10,2,2020-05-10 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,11,2,2020-05-11 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,12,2,2020-05-12 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,13,2,2020-05-13 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,14,2,2020-05-14 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,15,2,2020-05-15 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,16,2,2020-05-16 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,17,2,2020-05-17 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,18,2,2020-05-18 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,19,2,2020-05-19 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,20,2,2020-05-20 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,21,2,2020-05-21 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,22,2,2020-05-22 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,23,2,2020-05-23 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,24,2,2020-05-24 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,25,2,2020-05-25 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,26,2,2020-05-26 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,27,2,2020-05-27 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,28,2,2020-05-28 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,29,2,2020-05-29 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,30,2,2020-05-30 00:00:00+00:00,2020-05
Brunei,0.0,2020,5,31,2,2020-05-31 00:00:00+00:00,2020-05
Brunei,0.0,2020,6,1,2,2020-06-01 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,2,2,2020-06-02 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,3,2,2020-06-03 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,4,2,2020-06-04 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,5,2,2020-06-05 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,6,2,2020-06-06 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,7,2,2020-06-07 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,8,2,2020-06-08 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,9,2,2020-06-09 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,10,2,2020-06-10 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,11,2,2020-06-11 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,12,2,2020-06-12 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,13,2,2020-06-13 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,14,2,2020-06-14 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,15,2,2020-06-15 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,16,2,2020-06-16 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,17,2,2020-06-17 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,18,2,2020-06-18 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,19,2,2020-06-19 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,20,2,2020-06-20 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,21,2,2020-06-21 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,22,2,2020-06-22 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,23,2,2020-06-23 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,24,2,2020-06-24 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,25,2,2020-06-25 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,26,2,2020-06-26 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,27,2,2020-06-27 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,28,2,2020-06-28 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,29,2,2020-06-29 00:00:00+00:00,2020-06
Brunei,0.0,2020,6,30,2,2020-06-30 00:00:00+00:00,2020-06
Brunei,0.0,2020,7,1,3,2020-07-01 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,2,3,2020-07-02 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,3,3,2020-07-03 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,4,3,2020-07-04 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,5,3,2020-07-05 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,6,3,2020-07-06 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,7,3,2020-07-07 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,8,3,2020-07-08 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,9,3,2020-07-09 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,10,3,2020-07-10 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,11,3,2020-07-11 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,12,3,2020-07-12 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,13,3,2020-07-13 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,14,3,2020-07-14 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,15,3,2020-07-15 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,16,3,2020-07-16 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,17,3,2020-07-17 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,18,3,2020-07-18 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,19,3,2020-07-19 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,20,3,2020-07-20 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,21,3,2020-07-21 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,22,3,2020-07-22 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,23,3,2020-07-23 00:00:00+00:00,2020-07
Brunei,0.0,2020,7,24,3,2020-07-24 00:00:00+00:00,2020-07
